Dataset,SW,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
2.0,,3.0,2.0,0.839,0.8389119614235665,0.8388318994516729,0.8389119614235665,0.8384616181152389,0.6770890801598517,0.8389119614235665,0.000826396942138652,0.000152254104614248
3.0,,3.0,2.0,0.7297999999999999,0.7295349764685612,0.7435516316974261,0.7295349764685612,0.7312453139950996,0.593829515682961,,0.002507619857788056,0.0005006790161132759
4.0,,3.0,2.0,0.7216000000000001,0.7222878037188504,0.7221387293290245,0.7222878037188504,0.7191370652960833,0.6280638014633707,,0.00223466873168942,0.000302324295043928
5.0,,3.0,2.0,0.6026,0.6033898731721637,0.6181043131865436,0.6033898731721637,0.6013817329434208,0.5021918316318635,,0.0016500663757323718,0.00039855957031248
6.0,,3.0,2.0,0.5294000000000001,0.5311743284464707,0.5451749710290997,0.5311743284464707,0.5280492228106577,0.4347162245873669,,0.0020174407958984163,0.0005707359313964761
7.0,,3.0,2.0,0.5366000000000001,0.5359672249330097,0.5376645949835811,0.5359672249330097,0.5220691136368303,0.4588585292545582,,0.001136188507080052,0.0007518005371093639
8.0,,3.0,2.0,0.45020000000000004,0.4517502512209616,0.47598235541317907,0.4517502512209616,0.4458219628783443,0.370702254251526,,0.001968822479248016,0.000160646438598624
9.0,,3.0,2.0,0.4918,0.4906581479602191,0.4990095888411073,0.4906581479602191,0.484313764595459,0.42726821395432163,,0.001751394271850564,0.000602092742919916
10.0,,3.0,2.0,0.42760000000000004,0.42851417829016386,0.44451986499675383,0.42851417829016386,0.41104325883076326,0.36341011317953303,,0.0019979667663573837,4.0283203125e-05
11.0,,3.0,2.0,0.45299999999999996,0.4538826391000038,0.48281305739668534,0.4538826391000038,0.44458626912911703,0.39744688679299145,,0.001477947235107392,0.0
12.0,,3.0,2.0,0.36719999999999997,0.37225486563817645,0.39726211558022784,0.37225486563817645,0.363419809614427,0.309588312763632,,0.002025289535522416,0.00020677566528318797
13.0,,3.0,2.0,0.3668,0.3670569609458941,0.375521427685432,0.3670569609458941,0.35467258288373893,0.3133686783903154,,0.001627483367919876,0.00021546363830565198
14.0,,3.0,2.0,0.3442,0.3466522000515279,0.38487386681765623,0.3466522000515279,0.3374929683054864,0.2939334816767808,,0.0017024326324462438,0.0006549739837646359
15.0,,3.0,2.0,0.3408,0.34407695865652516,0.35195830648773707,0.34407695865652516,0.3268472084385228,0.293614715265336,,0.0015324878692626759,0.000387792587280264
16.0,,3.0,2.0,0.3502,0.357151545854816,0.37346162064565147,0.357151545854816,0.34306666489145726,0.3068259430466526,,0.001338768005371076,0.00036882400512694397
17.0,,3.0,2.0,0.32880000000000004,0.3326211419653415,0.34719257305268786,0.3326211419653415,0.3168022520695577,0.286341482913019,,0.002119588851928664,0.00044570922851560403
18.0,,3.0,2.0,0.3276,0.32883147024400894,0.3429297697053504,0.32883147024400894,0.31454278056223234,0.2877150364003852,,0.0021708297729491803,9.3536376953116e-05
19.0,,3.0,2.0,0.3334,0.33274834920117624,0.34386297749791095,0.33274834920117624,0.3126441320097683,0.29599959970619005,,0.0018868732452392122,0.000448017120361308
20.0,,3.0,2.0,0.3222,0.32664017649017646,0.34232937001938546,0.32664017649017646,0.31377783016034483,0.2862367784725846,,0.002695245742797812,0.00016958236694335202
21.0,,3.0,2.0,0.302,0.3016398416398416,0.313415053461262,0.3016398416398416,0.2784529126702403,0.2668822610584478,,0.002206964492797824,0.000592298507690412
22.0,,3.0,2.0,0.32160000000000005,0.32956262617358867,0.3459488262740358,0.32956262617358867,0.31045899149250805,0.28921324714265745,,0.0017489719390868957,0.000427665710449212
