Dataset,SW,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
2.0,,3.0,2.0,0.8962,0.8961537649538925,0.8968818605922751,0.8961537649538925,0.8958220732399198,0.7918145343432154,0.8961537649538925,0.009290370941162078,0.000664978027343744
3.0,,3.0,2.0,0.8732,0.8734929489302621,0.8732243006013087,0.8734929489302621,0.872496902415634,0.8093771877001446,,0.009035921096801701,0.00020430564880370003
4.0,,3.0,2.0,0.8344,0.8340284246434974,0.8353392918422948,0.8340284246434974,0.8333588200073264,0.778482436668311,,0.008184785842895455,0.00012378692626952
5.0,,3.0,2.0,0.7332000000000001,0.7345797197497204,0.7363914514771605,0.7345797197497204,0.7313459512268043,0.6658387926164312,,0.009302253723144485,0.00024163246154783997
6.0,,3.0,2.0,0.6464,0.6467742448589778,0.6497883219820129,0.6467742448589778,0.6434422928130594,0.5747141666432959,,0.010421009063720645,8.535385131832e-06
7.0,,3.0,2.0,0.6042000000000001,0.6062415599325846,0.6073124418578913,0.6062415599325846,0.601783740915154,0.53741617772139,,0.011447544097900351,0.0003934288024902281
8.0,,3.0,2.0,0.5838,0.5844514637057351,0.5884835037199169,0.5844514637057351,0.5807905825464202,0.5234709505904314,,0.011168632507324161,5.3367614746088e-05
9.0,,3.0,2.0,0.5518,0.5503032758056584,0.5553939054695675,0.5503032758056584,0.5469447263718166,0.49444845271171056,,0.01104832649230953,0.00037628173828124805
10.0,,3.0,2.0,0.5296,0.5314271640176973,0.535937186621058,0.5314271640176973,0.5261153987309511,0.4766396160194081,,0.012288513183593695,0.00043284416198729596
11.0,,3.0,2.0,0.5032,0.5032672726061239,0.5034395857535141,0.5032672726061239,0.4955554877993256,0.45276191625593776,,0.011932716369628851,0.000261077880859368
12.0,,3.0,2.0,0.45539999999999997,0.45669842470126154,0.45871811234275556,0.45669842470126154,0.44964474925185366,0.4052361267258924,,0.01243600845336911,8.0642700195308e-05
13.0,,3.0,2.0,0.42879999999999996,0.43181177077993094,0.43281745957349044,0.43181177077993094,0.42320516920811163,0.3803360234388199,,0.013418664932250926,0.00014999389648436798
14.0,,3.0,2.0,0.41759999999999997,0.41864282696057303,0.42325384199158206,0.41864282696057303,0.4096602230360857,0.3723142127733395,,0.013017253875732375,0.000216569900512692
15.0,,3.0,2.0,0.40779999999999994,0.41189144026481483,0.413783419728096,0.41189144026481483,0.40097990697397273,0.3651500498685991,,0.012725591659545853,0.000491571426391596
16.0,,3.0,2.0,0.40740000000000004,0.40664027989124735,0.4114824624321065,0.40664027989124735,0.3971353243235021,0.36715789224017953,,0.01453793525695795,0.00020777702331542002
17.0,,3.0,2.0,0.37420000000000003,0.38054185840263044,0.3814316693896116,0.38054185840263044,0.3678157662815081,0.3345779308104913,,0.013305644989013616,0.00024933815002439996
18.0,,3.0,2.0,0.36540000000000006,0.3708499372335801,0.37354475956582567,0.3708499372335801,0.3599964822382497,0.32754786754104737,,0.014013729095458944,0.00020438194274902
19.0,,3.0,2.0,0.35839999999999994,0.36071258215106994,0.3651133821368464,0.36071258215106994,0.3476866205857258,0.3221995043663103,,0.014979219436645456,0.000218725204467764
20.0,,3.0,2.0,0.365,0.36871400266400256,0.3727140706300922,0.36871400266400256,0.3552198820105341,0.33099178977045357,,0.015440607070922801,0.00015053749084471599
21.0,,3.0,2.0,0.3578,0.3602881457167171,0.3616706713683715,0.3602881457167171,0.34845126301165796,0.3251021395049493,,0.016359834671020458,9.73033905029223e-05
22.0,,3.0,2.0,0.34019999999999995,0.34337285926851085,0.3483661471983312,0.34337285926851085,0.32915180823301327,0.30842830405539984,,0.015088186264038034,0.00039696693420410004
23.0,,3.0,2.0,0.3188,0.32477430540474017,0.32331534563759623,0.32477430540474017,0.3084958859160532,0.2874306451394141,,0.017096395492553672,4.7836303710932e-05
24.0,,3.0,2.0,0.31620000000000004,0.31988563859887387,0.3300619357494357,0.31988563859887387,0.3078043495057146,0.28613309538693216,,0.015271711349487252,0.000265359878540028
