Dataset,SW,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
2.0,,3.0,2.0,0.9404,0.9408292805194997,0.9414124376584064,0.9408292805194997,0.9401890808888131,0.8805190989745717,0.9408292805194997,0.3973314571380615,0.01370099067687984
3.0,,3.0,2.0,0.9411999999999999,0.9416409711040729,0.9413094443200271,0.9416409711040729,0.940793128966888,0.9115932661740119,,0.45007848739624023,0.015258016586303672
4.0,,3.0,2.0,0.9079999999999999,0.9078814333993224,0.9091736341721658,0.9078814333993224,0.907459672925792,0.876902371243103,,0.4569281005859375,0.015435733795165964
5.0,,3.0,2.0,0.8455999999999999,0.8465232099176488,0.8464257957105151,0.8465232099176488,0.844242852000753,0.806472538476939,,0.4785630798339844,0.01578597068786617
6.0,,3.0,2.0,0.7809999999999999,0.7826200888693721,0.7832934359220245,0.7826200888693721,0.7785281585340837,0.7365422566051598,,0.5273897075653076,0.017292890548706003
7.0,,3.0,2.0,0.7225999999999999,0.7247658489755403,0.7221195227789984,0.7247658489755403,0.718359757355231,0.6757554894169928,,0.5678505706787109,0.01773782730102534
8.0,,3.0,2.0,0.7339999999999999,0.7366151160470089,0.7382420057727785,0.7366151160470089,0.7323077859244802,0.695334023053259,,0.5667519760131836,0.01897512435913081
9.0,,3.0,2.0,0.6996000000000001,0.6997848133446073,0.7048461714898475,0.6997848133446073,0.6945864051422892,0.661082577287693,,0.5831279945373535,0.019281702041625926
10.0,,3.0,2.0,0.6584,0.6580559788996577,0.6582435039486327,0.6580559788996577,0.6512529247688136,0.6196340601584022,,0.5963035678863525,0.019542512893676714
11.0,,3.0,2.0,0.6668000000000001,0.6714897196630975,0.6722374802218131,0.6714897196630975,0.6616555371955266,0.6328870803024578,,0.600074110031128,0.020044355392456005
12.0,,3.0,2.0,0.6146,0.6202184863332427,0.6205815960296913,0.6202184863332427,0.6094387718495448,0.5791578557694115,,0.5969622993469238,0.019837179183959913
13.0,,3.0,2.0,0.6128000000000001,0.618154649540668,0.6162470802274709,0.618154649540668,0.6045793412616134,0.5799665402883882,,0.6322201061248779,0.02162511825561519
14.0,,3.0,2.0,0.5826,0.5871092651614208,0.5885613687389258,0.5871092651614208,0.5746329040192523,0.5500652189332841,,0.6248741340637207,0.020342016220092726
15.0,,3.0,2.0,0.5783999999999999,0.5828223645520859,0.5871241396047804,0.5828223645520859,0.571817301040794,0.547597159900719,,0.6382093715667725,0.020333318710327106
16.0,,3.0,2.0,0.5622,0.5671640878149199,0.5705364701522622,0.5671640878149199,0.5544818128116205,0.5323663102475965,,0.6266759014129639,0.02217035293579097
17.0,,3.0,2.0,0.5294000000000001,0.5385549235664879,0.5343332207463513,0.5385549235664879,0.5218019386598486,0.49935478375069203,,0.6659342193603516,0.02223612785339352
18.0,,3.0,2.0,0.519,0.5248680830502296,0.527574248200611,0.5248680830502296,0.5097479466571977,0.4902587070492565,,0.6507499027252197,0.0201393604278564
19.0,,3.0,2.0,0.518,0.5260675885499905,0.5261714056135597,0.5260675885499905,0.507724163103519,0.49079609337710844,,0.6368376445770264,0.0205647754669189
20.0,,3.0,2.0,0.535,0.541422544122544,0.5467766335831352,0.541422544122544,0.525175084222276,0.5100803184618352,,0.6675170803070068,0.02178711891174311
21.0,,3.0,2.0,0.5064,0.5091273118415977,0.5087074749337023,0.5091273118415977,0.4916141915923176,0.4812129732874722,,0.6908449172973633,0.022522506713867144
22.0,,3.0,2.0,0.4997999999999999,0.508315050134217,0.5086262351652163,0.508315050134217,0.48698742851334775,0.47545521792906714,,0.714725112915039,0.023703641891479447
23.0,,3.0,2.0,0.49,0.4997509495335583,0.49754060914930487,0.4997509495335583,0.4777823690619947,0.46631428946563114,,0.7041135501861572,0.021994161605834908
24.0,,3.0,2.0,0.4794,0.4891720863559098,0.49016752868591107,0.4891720863559098,0.4670677226890596,0.4563068796855403,,0.6564848804473877,0.021166324615478467
