Dataset,SW,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
2.0,,3.0,2.0,0.9426000000000001,0.9427620749659867,0.9425136061070104,0.9427620749659867,0.9424030514430674,0.8848361216570578,0.9427620749659867,0.001247110366821252,0.009806108474731392
3.0,,3.0,2.0,0.9575999999999999,0.9580073821018097,0.9578196481591128,0.9580073821018097,0.9573923513494792,0.9362488519867774,,0.0018289852142333721,0.011431732177734324
4.0,,3.0,2.0,0.9184,0.9187373767274345,0.919081276366921,0.9187373767274345,0.9180015512906486,0.8908481714071054,,0.0020780181884765356,0.011535415649414025
5.0,,3.0,2.0,0.8538,0.8548529849073777,0.8557332753686292,0.8548529849073777,0.8519366566112048,0.816716522105761,,0.0017186260223388161,0.012017211914062463
6.0,,3.0,2.0,0.7787999999999999,0.7787327661493915,0.7763718938246315,0.7787327661493915,0.7722196420097677,0.7337459481139327,,0.0019171237945556402,0.01206675529479974
7.0,,3.0,2.0,0.7537999999999999,0.7552287768968071,0.7551316772507977,0.7552287768968071,0.7489679887324207,0.712115855692816,,0.0009923648834228279,0.012963523864746036
8.0,,3.0,2.0,0.7361999999999999,0.737687735866468,0.7411944180568426,0.737687735866468,0.7324133820184238,0.6977405343099625,,0.0015369033813476117,0.013346261978149363
9.0,,3.0,2.0,0.7233999999999999,0.7235429388195026,0.7268287261798299,0.7235429388195026,0.7155521055605224,0.6879736470114648,,0.00124605178833006,0.010805444717407185
10.0,,3.0,2.0,0.6631999999999999,0.6630959705421964,0.6673168631567273,0.6630959705421964,0.6550195636840108,0.6248553535464061,,0.001294536590576152,0.01250944137573237
11.0,,3.0,2.0,0.6308,0.6351571871817321,0.6352063273060939,0.6351571871817321,0.6242176046434916,0.5931916692360596,,0.001866064071655232,0.011342372894287056
12.0,,3.0,2.0,0.6015999999999999,0.6033364013191008,0.6069827684199707,0.6033364013191008,0.590799772102327,0.5648977469348522,,0.002083606719970664,0.012896575927734329
13.0,,3.0,2.0,0.5998,0.6038620440004568,0.6067063539467383,0.6038620440004568,0.5910278020612185,0.5656243135811604,,0.0017545700073241801,0.012619066238403271
14.0,,3.0,2.0,0.5598000000000001,0.5625996976361715,0.5672635580764895,0.5625996976361715,0.5469597371116375,0.5252900639183042,,0.001160163879394508,0.011225709915161088
15.0,,3.0,2.0,0.5883999999999999,0.5925028757734639,0.5977950001265792,0.5925028757734639,0.5806157053918787,0.558268443890481,,0.00212814331054684,0.009066953659057573
16.0,,3.0,2.0,0.5823999999999999,0.5875508262055282,0.5896526223230377,0.5875508262055282,0.5732181493362571,0.5538249317790325,,0.0012755298614501682,0.01280649185180659
17.0,,3.0,2.0,0.5242,0.5361281463937628,0.5335818088457783,0.5361281463937628,0.5148081536390469,0.49407437945905364,,0.001534137725830036,0.013554525375366168
18.0,,3.0,2.0,0.5074000000000001,0.5132815665682022,0.523773778318154,0.5132815665682022,0.4952611577283717,0.47788987701209784,,0.0009301090240478201,0.010487804412841743
19.0,,3.0,2.0,0.5176,0.5224806885580879,0.5343365295272331,0.5224806885580879,0.5071145526768369,0.49027309998590324,,0.001566572189331032,0.013386096954345651
20.0,,3.0,2.0,0.529,0.5335873848373848,0.5436960697197539,0.5335873848373848,0.5177370214383563,0.5037607822091306,,0.001161766052246064,0.014152374267578077
21.0,,3.0,2.0,0.5172,0.5193469599183885,0.5216341482980138,0.5193469599183885,0.5023945190683157,0.492456657464274,,0.00147308349609372,0.013492736816406208
22.0,,3.0,2.0,0.489,0.49369459624560946,0.5141606337965753,0.49369459624560946,0.4709241566079334,0.4639985298763628,,0.002732982635498016,0.013488378524780228
23.0,,3.0,2.0,0.43999999999999995,0.45015471243732114,0.45923651779338953,0.45015471243732114,0.4280642510683607,0.41418654997732646,,0.0017708969116210641,0.01109749794006343
24.0,,3.0,2.0,0.4606,0.4686150907915613,0.47755996847735305,0.4686150907915613,0.44720405953986614,0.4365826201576361,,0.0014861679077147957,0.012468652725219685
25.0,,3.0,2.0,0.4664,0.4747753157953158,0.4820920214426097,0.4747753157953158,0.45050404951412787,0.4437858599962317,,0.0014869117736816043,0.011796693801879832
26.0,,3.0,2.0,0.466,0.4719186305147843,0.4841919384563466,0.4719186305147843,0.4494220916760095,0.44404752426262417,,0.001802234649658172,0.013277807235717733
27.0,,3.0,2.0,0.4474,0.45610850877517545,0.4605517933569188,0.45610850877517545,0.4333193782659899,0.4256005917631183,,0.0013729858398437282,0.012407445907592731
28.0,,3.0,2.0,0.44780000000000003,0.45463733885162455,0.463144579000782,0.45463733885162455,0.43122341138803977,0.42681348025965776,,0.00107850074768064,0.01302491188049311
29.0,,3.0,2.0,0.40739999999999993,0.4171960881462797,0.4265323120393733,0.4166134343215624,0.3921397726859957,0.38583343320020896,,0.001699151992797808,0.011153669357299754
30.0,,3.0,2.0,0.4288,0.43702385022385015,0.4456112197400122,0.43702385022385015,0.4133678777994845,0.4088180687375578,,0.001224851608276316,0.011684617996215776
31.0,,3.0,2.0,0.4094,0.41821158029545125,0.4441113835563551,0.4171225548644903,0.39759682447276823,0.38931177604204975,,0.001820659637451136,0.013799161911010691
32.0,,3.0,2.0,0.4118,0.4254755464069979,0.4411486709616063,0.42498272213897215,0.39679372901107657,0.3925518749168899,,0.001134872436523416,0.011428737640380812
33.0,,3.0,2.0,0.3754,0.38719455218602944,0.39636036848871065,0.3852839349202985,0.35729861963166576,0.35564813491754443,,0.0014330482482909962,0.012913846969604438
34.0,,3.0,2.0,0.37479999999999997,0.3886921858098329,0.3912479546597193,0.3877884566413978,0.35682512783691783,0.35555212373814093,,0.000945119857788056,0.012638292312622014
35.0,,3.0,2.0,0.3832,0.39530198018601376,0.4049843624015672,0.3948305916305916,0.3674431036289313,0.3646113780972018,,0.001909255981445276,0.011362819671630804
36.0,,3.0,2.0,0.35480000000000006,0.36440676017104584,0.37524920676636364,0.36398170348170344,0.33011674235670285,0.33602639857703026,,0.0013610935211181398,0.012580995559692337
