Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
22,,1,0,LR,0.335,0.3613931523022432,0.33909966296329935,0.3613931523022432,0.3351907215226945,0.30388359677588195,,0.026270389556884766,0.0
22,,2,0,LR,0.38,0.37343237570510296,0.38387584637584643,0.37343237570510296,0.3657649651927604,0.34875659777841983,,0.04042863845825195,0.0
22,,3,0,LR,0.38,0.3780155450609996,0.35563666131847954,0.3780155450609996,0.3524161967736902,0.3498151692315761,,0.04837846755981445,0.0
22,,4,0,LR,0.34,0.3405791178518451,0.3503909081114963,0.3405791178518451,0.3357206941169361,0.3078133193497641,,0.05033469200134277,0.0
22,,5,0,LR,0.435,0.4467072069344797,0.459621342709578,0.4467072069344797,0.4282405424211491,0.4078344032490502,,0.04460263252258301,0.0
22,,1,1,LR,0.4,0.4103787626514899,0.40451265905811346,0.4103787626514899,0.3911880204731315,0.37162905168351046,,0.04551386833190918,0.0
22,,2,1,LR,0.39,0.4117704265431538,0.40042296532938243,0.4117704265431538,0.38128083638849186,0.36097216038551194,,0.05531907081604004,0.0
22,,3,1,LR,0.395,0.39961061665607117,0.4264054127690491,0.39961061665607117,0.3952571545765906,0.3657782320413031,,0.046535491943359375,0.0
22,,4,1,LR,0.365,0.37225337793519614,0.37248492372155473,0.37225337793519614,0.3533908975753895,0.3342245288459018,,0.047515153884887695,0.0
22,,5,1,LR,0.33,0.34394267348812807,0.3409794750703842,0.34394267348812807,0.3252304950264421,0.29863128418518214,,0.04023551940917969,0.005339384078979492
22,,1,2,LR,0.385,0.39580355770195347,0.4009911207877714,0.39580355770195347,0.3737760721469075,0.35580171262471527,,0.04499006271362305,0.0
22,,2,2,LR,0.375,0.37738997113997114,0.40846571357934996,0.37738997113997114,0.3647869396246193,0.3439869847017766,,0.060842037200927734,0.0
22,,3,2,LR,0.375,0.3924386551778897,0.3923471210904367,0.3924386551778897,0.36672781656949965,0.3455497382198953,,0.05336141586303711,0.0
22,,4,2,LR,0.435,0.4460711006165552,0.430782979646616,0.4460711006165552,0.423011887805724,0.40716646555794556,,0.050324201583862305,0.0
22,,5,2,LR,0.35,0.36767015664074487,0.3675281788918152,0.36767015664074487,0.34832277321493416,0.3193539097882143,,0.045426130294799805,0.0
22,,1,3,LR,0.36,0.3913452708907254,0.3664371613235249,0.3913452708907254,0.35273067731226165,0.3304388763927395,,0.04540276527404785,0.0
22,,2,3,LR,0.365,0.39908967295330927,0.36351747999475276,0.39908967295330927,0.3644426019858853,0.3342245288459019,,0.04537010192871094,0.0
22,,3,3,LR,0.41,0.4240078103714467,0.41925662721117263,0.4240078103714467,0.4042489755816522,0.38099984262707864,,0.039879798889160156,0.0
22,,4,3,LR,0.345,0.3431023373536742,0.3382375200557019,0.3431023373536742,0.3203893259789073,0.31334521438305907,,0.04481148719787598,0.0
22,,5,3,LR,0.39,0.41691837203200843,0.43207751844115483,0.41691837203200843,0.3851660756739441,0.3622749013355636,,0.05036139488220215,0.0
22,,1,4,LR,0.355,0.36356736697645786,0.35767502699320886,0.36356736697645786,0.3470573692498826,0.3235448348190876,,0.04487967491149902,0.0
22,,2,4,LR,0.395,0.39085151331140633,0.39131417824599635,0.39085151331140633,0.3731070961647388,0.3658447105683813,,0.0397796630859375,0.0
22,,3,4,LR,0.37,0.3609471336744064,0.37220968277118005,0.3609471336744064,0.3527773347634702,0.33922437527860083,,0.04966425895690918,0.0002200603485107422
22,,4,4,LR,0.395,0.39420415443142715,0.39972046669907635,0.39420415443142715,0.3740810339366061,0.36679051755717207,,0.04517245292663574,0.0
22,,5,4,LR,0.4,0.4059521286794014,0.4163583890856618,0.4059521286794014,0.39826234540119926,0.3714315646115972,,0.05001974105834961,0.0
