Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
62,,1,0,LR,0.185,0.2169398907103825,0.19114823348694313,0.21344086021505376,0.1710189452124936,0.1722526914483039,,0.39534521102905273,0.0
62,,2,0,LR,0.215,0.23364055299539171,0.20097926267281108,0.23364055299539171,0.1874023825636729,0.20278264401960056,,0.3753683567047119,0.0
62,,3,0,LR,0.17,0.1948924731182796,0.14888632872503837,0.1948924731182796,0.14386840757808497,0.15748870730345632,,0.49883604049682617,0.0
62,,4,0,LR,0.165,0.18722222222222218,0.17231182795698924,0.18118279569892473,0.15408578876320814,0.15267136841037088,,0.5015406608581543,0.0
62,,5,0,LR,0.18,0.18886198547215496,0.2136200716845878,0.17972350230414746,0.1611413675929805,0.16785061903795429,,0.3999969959259033,0.0030236244201660156
62,,1,1,LR,0.19,0.1936781609195402,0.19834869431643626,0.18118279569892476,0.1640040962621608,0.17824896012985691,,0.2610597610473633,0.0
62,,2,1,LR,0.19,0.19326069410815172,0.19690860215053763,0.18390937019969278,0.1720313736442769,0.17691291535413078,,0.2645411491394043,0.0
62,,3,1,LR,0.215,0.22448412698412698,0.19526369687660006,0.21724270353302613,0.17752480494415981,0.20241814625720744,,0.22460675239562988,0.004994392395019531
62,,4,1,LR,0.215,0.2478494623655914,0.24254992319508448,0.2478494623655914,0.20023856072243168,0.20268142806358247,,0.24709486961364746,0.0025458335876464844
62,,5,1,LR,0.155,0.18388888888888888,0.17728494623655916,0.1779569892473118,0.146709383806158,0.1427411991478138,,0.34769368171691895,0.0
62,,1,2,LR,0.18,0.20552995391705067,0.17311827956989248,0.20552995391705067,0.1670762928827445,0.1670264367524189,,0.41632819175720215,0.0
62,,2,2,LR,0.185,0.2062841530054645,0.19798387096774195,0.20295698924731184,0.17349532188241867,0.17206349206349214,,0.3010537624359131,0.0042629241943359375
62,,3,2,LR,0.235,0.2546626984126984,0.27683051715309775,0.24644777265745005,0.20730461294977426,0.22344880091358965,,0.3593320846557617,0.0
62,,4,2,LR,0.195,0.22295081967213115,0.22900782013685236,0.21935483870967745,0.18707466368756695,0.18352857649982246,,0.4459652900695801,0.0
62,,5,2,LR,0.185,0.19013888888888889,0.18515873015873016,0.19013888888888889,0.16543243793243792,0.17166378697022067,,0.46985960006713867,0.002614259719848633
62,,1,3,LR,0.18,0.21552910052910051,0.18473848555815767,0.21199583658600052,0.1716391077046815,0.16795616549554815,,0.33828306198120117,0.0
62,,2,3,LR,0.17,0.19650537634408602,0.1986559139784946,0.19650537634408602,0.17182539682539683,0.15729624083052018,,0.21600127220153809,0.0
62,,3,3,LR,0.175,0.20055555555555554,0.1704365079365079,0.19408602150537632,0.14635293022389798,0.16277653744672216,,0.21419239044189453,0.0
62,,4,3,LR,0.185,0.19685792349726777,0.19489945538332634,0.19368279569892474,0.1681783270492948,0.1731135066582118,,0.30309057235717773,0.0
62,,5,3,LR,0.2,0.18991935483870967,0.1784178187403994,0.18991935483870967,0.16897430526462784,0.18728094681769702,,0.2653837203979492,0.0
62,,1,4,LR,0.185,0.22162373145979702,0.15879416282642086,0.21804915514592932,0.16176431095785934,0.17277779187495235,,0.19482111930847168,0.0051119327545166016
62,,2,4,LR,0.22,0.24473067915690866,0.21214855932597868,0.24078341013824886,0.19258984742855714,0.20838302083069038,,0.22292876243591309,0.0
62,,3,4,LR,0.18,0.20833333333333334,0.17131976446492575,0.20161290322580644,0.15643881208397337,0.16742816529596916,,0.23996543884277344,0.0
62,,4,4,LR,0.185,0.23743169398907105,0.19068740399385561,0.23360215053763442,0.18046827724247083,0.1729037168590638,,0.215376615524292,0.0
62,,5,4,LR,0.19,0.24444444444444444,0.18159242191500255,0.23655913978494622,0.1719517937259873,0.17870722433460084,,0.1995229721069336,0.0
