Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
33,,1,0,RF,0.465,0.4684583934583935,0.4553926713017622,0.4684583934583935,0.4389966792232483,0.4478701720890632,,0.6468405723571777,0.0249631404876709
33,,2,0,RF,0.425,0.4587109938672439,0.45523306659670293,0.4448106607197516,0.4254409781147749,0.4074303086515175,,0.7212624549865723,0.023504018783569336
33,,3,0,RF,0.425,0.46406556406556404,0.4452080327080327,0.46406556406556404,0.41393902174534586,0.40686489413827787,,0.7299349308013916,0.024918794631958008
33,,4,0,RF,0.385,0.3802658279220779,0.39538676811404083,0.3687426210153482,0.3566769831475714,0.36537419704357244,,0.7009334564208984,0.025058746337890625
33,,5,0,RF,0.39,0.4209836459836459,0.4045859023131751,0.4209836459836459,0.386639890115826,0.37048503611971106,,0.6990666389465332,0.025336503982543945
33,,1,1,RF,0.395,0.40232301368665,0.40355940355940356,0.40232301368665,0.37680065267315477,0.3753387883637489,,0.7060034275054932,0.02640080451965332
33,,2,1,RF,0.385,0.39483361756089025,0.44105339105339103,0.39483361756089025,0.38408956363501817,0.3656523981433728,,0.6729741096496582,0.022505760192871094
33,,3,1,RF,0.385,0.39176286676286676,0.3938836416109143,0.39176286676286676,0.3670755834631433,0.3651612903225806,,0.7166237831115723,0.012902259826660156
33,,4,1,RF,0.435,0.4242784992784993,0.466943241943242,0.4242784992784993,0.42314918988715783,0.4161413661258655,,0.6908485889434814,0.019994258880615234
33,,5,1,RF,0.415,0.4347522847522847,0.4528805369714461,0.4347522847522847,0.39304281082355946,0.39717134245304886,,0.690131664276123,0.0240018367767334
33,,1,2,RF,0.435,0.4248436748436748,0.407112248021339,0.4248436748436748,0.4035610210743901,0.41615644940453134,,0.6580429077148438,0.023982763290405273
33,,2,2,RF,0.46,0.4466690716690716,0.47520139792867067,0.4466690716690716,0.4408498658569021,0.4426094137076796,,0.7705578804016113,0.03429293632507324
33,,3,2,RF,0.395,0.3907287157287157,0.42857830919328244,0.3907287157287157,0.3752245130587376,0.37532266391326785,,0.7285103797912598,0.02547478675842285
33,,4,2,RF,0.44,0.4521404521404522,0.45381192881192883,0.4521404521404522,0.42335804421365925,0.4226060059285991,,0.7203335762023926,0.019231796264648438
33,,5,2,RF,0.365,0.3838383838383838,0.4014670514670514,0.3838383838383838,0.35292671750594634,0.34590028842192,,0.6995368003845215,0.02068305015563965
33,,1,3,RF,0.41,0.4223096768551314,0.4249158249158249,0.4223096768551314,0.3915464115998875,0.3909205874003149,,0.7075235843658447,0.027674198150634766
33,,2,3,RF,0.41,0.42379148629148633,0.38792798110979926,0.4109493200402291,0.36365351377313093,0.3910777407952112,,0.7113759517669678,0.029532194137573242
33,,3,3,RF,0.41,0.4591991341991342,0.4495310245310245,0.4591991341991342,0.40356028404156746,0.3921442369607212,,0.7320923805236816,0.027369976043701172
33,,4,3,RF,0.435,0.4313029852092352,0.4406008133280861,0.41823319777865225,0.3986714201040123,0.41727045354923553,,0.7205729484558105,0.015596151351928711
33,,5,3,RF,0.41,0.43279220779220784,0.46201948180557806,0.43279220779220784,0.3954345141627169,0.391987633646786,,0.7212903499603271,0.02011561393737793
33,,1,4,RF,0.425,0.44989026125389764,0.4394901394901395,0.44989026125389764,0.40863233955691036,0.40703310302155304,,0.7000088691711426,0.018936872482299805
33,,2,4,RF,0.4,0.44570707070707066,0.37535091171454804,0.44570707070707066,0.3837221200998291,0.38062917752716197,,0.7226204872131348,0.025676727294921875
33,,3,4,RF,0.385,0.39162403253312345,0.42008177008177006,0.39162403253312345,0.3781138246519614,0.365815931941222,,0.7155523300170898,0.01991868019104004
33,,4,4,RF,0.405,0.42598605098605097,0.41168747077837986,0.42598605098605097,0.3805523551512856,0.38567962418047586,,0.7400197982788086,0.020003080368041992
33,,5,4,RF,0.385,0.3977272727272727,0.43188049324412964,0.3977272727272727,0.37717779843448296,0.3655869610068083,,0.724890947341919,0.02516031265258789
