Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
49,,1,0,MLP,0.365,0.3605654761904762,0.3363378684807256,0.3532069970845481,0.32873826853418686,0.35126299389574234,,4.830908298492432,0.004887580871582031
49,,2,0,MLP,0.285,0.32709750566893425,0.30471331389698736,0.32709750566893425,0.2788469233847385,0.26943905180341277,,4.320436000823975,0.0011143684387207031
49,,3,0,MLP,0.38,0.36428571428571427,0.3587706511175898,0.36428571428571427,0.33200965700965696,0.3664256699793067,,4.356480121612549,0.002351999282836914
49,,4,0,MLP,0.385,0.3864087301587302,0.40282857731837324,0.3785228377065112,0.36178650614424934,0.371503027515904,,4.526293516159058,0.0021219253540039062
49,,5,0,MLP,0.375,0.390203373015873,0.40895691609977325,0.3822400388726919,0.3635169818843288,0.36200076559908134,,4.321613311767578,0.0
49,,1,1,MLP,0.32,0.3467261904761904,0.383916423712342,0.33965014577259484,0.31752012160175425,0.30541368743615926,,4.0169103145599365,0.0024771690368652344
49,,2,1,MLP,0.38,0.4253401360544217,0.42487852283770644,0.4253401360544217,0.3851889140604627,0.3671532101663775,,4.054941415786743,0.0015060901641845703
49,,3,1,MLP,0.395,0.3995626822157434,0.3828474246841594,0.3995626822157434,0.36332714904143476,0.3819277723859632,,4.199331998825073,0.010008573532104492
49,,4,1,MLP,0.395,0.3999514091350826,0.38877551020408163,0.3999514091350826,0.3629652660264905,0.38188041173916376,,4.67311954498291,0.0010142326354980469
49,,5,1,MLP,0.34,0.34540816326530605,0.3446307094266277,0.34540816326530605,0.31837063163593776,0.3259803921568628,,3.8785388469696045,0.0022399425506591797
49,,1,2,MLP,0.34,0.3544072948328267,0.33960155490767735,0.3399416909620991,0.3065287320389361,0.32606642330176405,,4.313964366912842,0.002002716064453125
49,,2,2,MLP,0.36,0.38015873015873014,0.3673469387755102,0.37240038872691933,0.3284580498866213,0.3468054705041844,,4.580098628997803,0.0
49,,3,2,MLP,0.335,0.327332361516035,0.32268383543893747,0.327332361516035,0.295968657193147,0.3211688145974225,,4.4527747631073,0.0009551048278808594
49,,4,2,MLP,0.375,0.395821185617104,0.3701895043731779,0.395821185617104,0.35681784202192357,0.36157715978446847,,4.3374247550964355,0.002813577651977539
49,,5,2,MLP,0.345,0.37228701004211207,0.39025753158406223,0.37228701004211207,0.33787912767504613,0.3315303362759605,,4.09850001335144,0.002608060836791992
49,,1,3,MLP,0.405,0.41687774400540356,0.44419959473150955,0.41687774400540356,0.38603181688288063,0.3921904129529842,,4.2404210567474365,0.0019030570983886719
49,,2,3,MLP,0.37,0.36111111111111116,0.42271622934888237,0.3537414965986394,0.3400557492394227,0.35683111712309545,,4.3009867668151855,0.0021228790283203125
49,,3,3,MLP,0.29,0.286144883485309,0.29980784521600845,0.2744655004859087,0.2644417940336308,0.2750848712254639,,4.4975926876068115,0.0
49,,4,3,MLP,0.355,0.36189666342727567,0.3638564949789439,0.36189666342727567,0.3333610833610834,0.3417191845482611,,4.52018141746521,0.004621267318725586
49,,5,3,MLP,0.415,0.45152251376741176,0.4001214771622935,0.45152251376741176,0.38842580322172154,0.4031982453008238,,4.736177921295166,0.0
49,,1,4,MLP,0.455,0.4578786375661376,0.4656948493683188,0.44853417557499187,0.42021001540809466,0.4425692952848522,,3.587270498275757,0.002390623092651367
49,,2,4,MLP,0.39,0.41617265954000643,0.40881924198250724,0.41617265954000643,0.36754390733982567,0.3769470404984424,,4.522367238998413,0.0025327205657958984
49,,3,4,MLP,0.375,0.38522837706511176,0.3722789115646258,0.38522837706511176,0.34440785971398213,0.3618867731890347,,4.482692003250122,0.0035660266876220703
49,,4,4,MLP,0.32,0.3662533068783069,0.32527281746031744,0.3662533068783069,0.29910783660783663,0.30585683297180044,,4.344969272613525,0.00188446044921875
49,,5,4,MLP,0.335,0.3486880466472303,0.3185970492092941,0.3486880466472303,0.30552950450909633,0.32101286501939974,,4.526123523712158,0.0021200180053710938
