Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
19,,1,0,kNN,0.505,0.5110646663278242,0.5351061477222467,0.5110646663278242,0.5039322532397325,0.4771172788971928,,0.0009491443634033203,0.010732889175415039
19,,2,0,kNN,0.525,0.5237125619478561,0.5494380657815562,0.5237125619478561,0.5115572438415344,0.4985881297337239,,0.0006618499755859375,0.014162063598632812
19,,3,0,kNN,0.57,0.5818024338922171,0.5881458239043378,0.5818024338922171,0.5634680596279522,0.5458506059725926,,0.0010008811950683594,0.01611638069152832
19,,4,0,kNN,0.48,0.47400406610932927,0.49506790350850965,0.47400406610932927,0.4715366439569597,0.4502154204001798,,0.0026702880859375,0.0144805908203125
19,,5,0,kNN,0.535,0.5527240561296288,0.5591101880575564,0.5527240561296288,0.5292018386454487,0.5097522403795467,,0.002000093460083008,0.01417994499206543
19,,1,1,kNN,0.53,0.548520339309813,0.5429400122083843,0.548520339309813,0.5283242420286082,0.5035779356235641,,0.0019998550415039062,0.012266874313354492
19,,2,1,kNN,0.48,0.48588940299466615,0.5238119809327241,0.48588940299466615,0.47124398225825076,0.4510714662725641,,0.0009891986846923828,0.014155387878417969
19,,3,1,kNN,0.5,0.5048715302585272,0.5069359175396326,0.5048715302585272,0.4861569916399039,0.47225374040161494,,0.0,0.012920618057250977
19,,4,1,kNN,0.52,0.5229275110854057,0.5265690621727772,0.5229275110854057,0.5042663152215386,0.4929086443229538,,0.0009937286376953125,0.015230894088745117
19,,5,1,kNN,0.495,0.49821290250856815,0.5132806220267521,0.49821290250856815,0.48414890448829284,0.46706065482943304,,0.0010216236114501953,0.017562389373779297
19,,1,2,kNN,0.545,0.5516509634156693,0.5815037867099135,0.5516509634156693,0.5413587508869043,0.5182126217704363,,0.005845546722412109,0.014679193496704102
19,,2,2,kNN,0.58,0.5836746586746586,0.6108703431071852,0.5836746586746586,0.5748076730490941,0.5561543948640723,,0.003024578094482422,0.014123916625976562
19,,3,2,kNN,0.49,0.4899356233721559,0.5155877318416018,0.4899356233721559,0.48554877422599385,0.46027462497023575,,0.00115203857421875,0.008968591690063477
19,,4,2,kNN,0.47,0.46840966051492366,0.4779747299484141,0.46840966051492366,0.45000283019836546,0.44072178546931884,,0.0056133270263671875,0.009593486785888672
19,,5,2,kNN,0.525,0.5413506814822604,0.527087605377079,0.5413506814822604,0.5165135655446387,0.4980715380144767,,0.0,0.009557247161865234
19,,1,3,kNN,0.575,0.5752590718534991,0.5817006823585771,0.5752590718534991,0.5680995621618076,0.5503953875856232,,0.0,0.01589512825012207
19,,2,3,kNN,0.48,0.47352581244548003,0.5123069912543596,0.47352581244548003,0.4700900592817051,0.4503607007901066,,0.002121448516845703,0.0104827880859375
19,,3,3,kNN,0.54,0.5522852878116036,0.5601978430925799,0.5522852878116036,0.5374090455291768,0.5143452899411407,,0.0,0.011758089065551758
19,,4,3,kNN,0.5,0.519409623743989,0.5062431548499661,0.519409623743989,0.4855491670172024,0.4721283783783784,,0.0,0.010305166244506836
19,,5,3,kNN,0.48,0.4684740096504802,0.48222185899531433,0.4684740096504802,0.44845776397895076,0.45011367842224925,,0.0,0.014311790466308594
19,,1,4,kNN,0.52,0.526614234985589,0.5135234476565745,0.526614234985589,0.49458366205824605,0.4916331285744546,,0.005846261978149414,0.013007164001464844
19,,2,4,kNN,0.565,0.5741194306209787,0.5554996560027519,0.5741194306209787,0.5487831283496918,0.5396825396825398,,0.0017905235290527344,0.009962081909179688
19,,3,4,kNN,0.46,0.45575506364980045,0.4875008082642105,0.45575506364980045,0.45731620603288003,0.42949208948522233,,0.0,0.016325712203979492
19,,4,4,kNN,0.54,0.544109107267002,0.5570554445554446,0.544109107267002,0.5311005019737244,0.5132017567067041,,0.001483917236328125,0.012800455093383789
19,,5,4,kNN,0.53,0.5337145139002724,0.5487334303123778,0.5337145139002724,0.5144066516843189,0.5036434681592565,,0.0,0.021073579788208008
