Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
57,,1,0,LR,0.185,0.19005847953216373,0.1834168755221387,0.19005847953216373,0.1667147667147667,0.1713900820984675,,0.23023581504821777,0.0
57,,2,0,LR,0.19,0.21392632524707994,0.19143692564745196,0.19891395154553052,0.16508695982380192,0.17666192315511275,,0.27999162673950195,0.0
57,,3,0,LR,0.195,0.20125541125541124,0.20843776106934,0.19419381787802842,0.1789047210099842,0.18061987887424302,,0.26441287994384766,0.0
57,,4,0,LR,0.235,0.2451948051948052,0.2140629351155667,0.23659147869674185,0.1946241867294499,0.2221261884183232,,0.26512908935546875,0.0
57,,5,0,LR,0.215,0.2335034013605442,0.19654882154882153,0.22940685045948203,0.18649226017647072,0.2016678531475643,,0.28997015953063965,0.0
57,,1,1,LR,0.16,0.17261904761904762,0.16879699248120297,0.16959064327485382,0.14634313055365686,0.14592918329478144,,0.23539304733276367,0.0
57,,2,1,LR,0.26,0.2548454469507101,0.24883040935672512,0.2548454469507101,0.23449026606921344,0.24683850283707787,,0.33505678176879883,0.0
57,,3,1,LR,0.255,0.24904761904761902,0.2466791979949875,0.24030910609857975,0.22211833001306688,0.24211597151576814,,0.22054338455200195,0.0
57,,4,1,LR,0.245,0.25835497835497834,0.2693678641047062,0.24928989139515453,0.23129326813537338,0.23237252808703168,,0.30838561058044434,0.0
57,,5,1,LR,0.175,0.19312865497076023,0.17679615705931492,0.19312865497076023,0.15948330422014634,0.16164926453776385,,0.3408329486846924,0.0
57,,1,2,LR,0.165,0.18303571428571427,0.1476747424115845,0.17982456140350878,0.1442199126409653,0.15094819258732017,,0.34229135513305664,0.0
57,,2,2,LR,0.175,0.2085034013605442,0.1824004455583403,0.2048454469507101,0.15717956507430192,0.16171315348270088,,0.3496100902557373,0.0
57,,3,2,LR,0.225,0.23231292517006802,0.21585909217488164,0.22823725981620718,0.19689024425866533,0.21045258895143004,,0.2953512668609619,0.0
57,,4,2,LR,0.24,0.2539328231292517,0.24890002784739626,0.24947786131996658,0.217837523100681,0.22671889705695314,,0.2744791507720947,0.0
57,,5,2,LR,0.22,0.22117346938775512,0.23040935672514615,0.21729323308270673,0.20402648034226983,0.20713577799801786,,0.3156564235687256,0.0
57,,1,3,LR,0.18,0.20346003898635476,0.1776026604973973,0.20346003898635476,0.1583955031323452,0.1664125241435397,,0.31546878814697266,0.0
57,,2,3,LR,0.215,0.2099832915622389,0.23530353661932607,0.2099832915622389,0.20484924432292853,0.20077377316228873,,0.25002098083496094,0.0
57,,3,3,LR,0.21,0.22993197278911565,0.23373712057922583,0.2258980785296575,0.19342285394916975,0.1972768378804045,,0.3054022789001465,0.0
57,,4,3,LR,0.195,0.21773182957393483,0.21119465329991646,0.21773182957393483,0.18875383875383878,0.18107833163784348,,0.2849881649017334,0.0
57,,5,3,LR,0.235,0.2755102040816326,0.24014202172096907,0.2706766917293233,0.21207096996570685,0.22210641380888219,,0.34020495414733887,0.0
57,,1,4,LR,0.215,0.23318713450292397,0.19362990810359226,0.23318713450292397,0.1827409432672591,0.20172874030761412,,0.2995908260345459,0.0
57,,2,4,LR,0.15,0.1399134199134199,0.15208855472013366,0.13500417710944027,0.13144350775929722,0.13497010558453126,,0.24852657318115234,0.0
57,,3,4,LR,0.21,0.23492063492063492,0.2531328320802005,0.22255639097744356,0.1996569707096023,0.19707287325947775,,0.250469446182251,0.0
57,,4,4,LR,0.215,0.2236111111111111,0.20728209412419935,0.21184210526315786,0.18205780574201627,0.20099748085193014,,0.2947812080383301,0.0
57,,5,4,LR,0.22,0.24936224489795916,0.229281537176274,0.24498746867167923,0.2022039994176217,0.2070551757440212,,0.23738789558410645,0.0
