Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
33,,1,0,kNN,0.44,0.4294011544011544,0.4835496994587904,0.4294011544011544,0.40971341544800594,0.4219354838709677,,0.0010077953338623047,0.011115074157714844
33,,2,0,kNN,0.38,0.4163983585858586,0.43405811360356816,0.40378022650749923,0.3772014972549732,0.36067644556727074,,0.002182483673095703,0.011849641799926758
33,,3,0,kNN,0.355,0.3963906463906464,0.3719361100377144,0.3963906463906464,0.32561508724273813,0.33571925126805524,,0.0020377635955810547,0.010561466217041016
33,,4,0,kNN,0.415,0.4107187950937951,0.4207190957190957,0.3982727710000437,0.38974711167224535,0.39640940982253403,,0.0007727146148681641,0.013479948043823242
33,,5,0,kNN,0.36,0.35937950937950935,0.4004634254634255,0.35937950937950935,0.3421446000393369,0.33894541135154677,,0.002004861831665039,0.012154817581176758
33,,1,1,kNN,0.38,0.38031942804670077,0.37217386495461363,0.38031942804670077,0.35541102865195184,0.35970257151709173,,0.0015285015106201172,0.013653039932250977
33,,2,1,kNN,0.365,0.3631466176920722,0.4002033320215138,0.3631466176920722,0.35383727977310864,0.3440760252040078,,0.0,0.01322317123413086
33,,3,1,kNN,0.39,0.39635642135642135,0.37323450959814597,0.39635642135642135,0.36900064160126084,0.3705499948405737,,0.0,0.014941930770874023
33,,4,1,kNN,0.365,0.3691678691678692,0.384027084027084,0.3691678691678692,0.3609863112255457,0.3443638522495548,,0.0010023117065429688,0.01127767562866211
33,,5,1,kNN,0.375,0.39919432419432416,0.3972572040753859,0.39919432419432416,0.3538249230832963,0.35653248224029643,,0.0,0.0152130126953125
33,,1,2,kNN,0.365,0.35179172679172677,0.32797564388473477,0.35179172679172677,0.3230122472101081,0.3444146190377865,,0.00194549560546875,0.012878179550170898
33,,2,2,kNN,0.345,0.32341269841269843,0.3359059241412183,0.32341269841269843,0.3137452726559911,0.323644061233446,,0.0,0.01490926742553711
33,,3,2,kNN,0.33,0.33240740740740743,0.32006755870392234,0.33240740740740743,0.303550346464785,0.3089221248066014,,0.0,0.012917280197143555
33,,4,2,kNN,0.42,0.4298581048581048,0.4708636481363753,0.4298581048581048,0.40237962176464853,0.4012594198410241,,0.0010080337524414062,0.010847330093383789
33,,5,2,kNN,0.315,0.3476911976911977,0.4222462722462722,0.3476911976911977,0.32287368477911677,0.2950499125244417,,0.0010001659393310547,0.012378454208374023
33,,1,3,kNN,0.44,0.46143906598452045,0.4582316673225764,0.46143906598452045,0.4328082398051438,0.4212783547770371,,0.003542661666870117,0.010283470153808594
33,,2,3,kNN,0.34,0.34824697871572874,0.3573833573833574,0.3376940399667672,0.3134264719966943,0.3190084350091573,,0.0,0.015041351318359375
33,,3,3,kNN,0.36,0.39446849446849447,0.37858673313218766,0.39446849446849447,0.33491860684374053,0.341766944358737,,0.0,0.014033079147338867
33,,4,3,kNN,0.39,0.40089511183261184,0.44031002667366304,0.3887467751104115,0.37856911359585155,0.37176549344730814,,0.0,0.017266273498535156
33,,5,3,kNN,0.395,0.4326118326118326,0.42231354504081775,0.4326118326118326,0.37797540645134226,0.3759187147020141,,0.0050661563873291016,0.012374639511108398
33,,1,4,kNN,0.425,0.4265096856005947,0.40464165464165464,0.4265096856005947,0.3996789650603329,0.40645161290322585,,0.0050220489501953125,0.011644363403320312
33,,2,4,kNN,0.33,0.36183261183261184,0.3484304416122598,0.36183261183261184,0.3270814236477057,0.30879735898692395,,0.0,0.014693260192871094
33,,3,4,kNN,0.375,0.38119834710743805,0.39354475490839125,0.38119834710743805,0.3548822785453802,0.35505507829631355,,0.0055735111236572266,0.009341716766357422
33,,4,4,kNN,0.345,0.360966810966811,0.3667388167388167,0.360966810966811,0.32858159368854556,0.32376626058228375,,0.0,0.016470670700073242
33,,5,4,kNN,0.385,0.406060606060606,0.4241467286921833,0.406060606060606,0.381500322289796,0.36519405450041287,,0.0021317005157470703,0.010297060012817383
