Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
14,,1,0,LR,0.38,0.3888236569931617,0.3824818563789152,0.3888236569931617,0.38010367883467044,0.3319685378730739,,0.034618377685546875,0.0
14,,2,0,LR,0.415,0.4191475314208618,0.4247437553109822,0.4191475314208618,0.40894457259163725,0.3706124425078673,,0.030002593994140625,0.0
14,,3,0,LR,0.415,0.4277046016541815,0.4367103134960278,0.4277046016541815,0.42464921862552657,0.36922123082729064,,0.035431623458862305,0.0
14,,4,0,LR,0.51,0.5147883978766331,0.5239201044256763,0.5147883978766331,0.5006998091304514,0.4719543078829679,,0.03476524353027344,0.0
14,,5,0,LR,0.435,0.4305624356846161,0.4478195329515205,0.4305624356846161,0.42537941912759997,0.39085199859842046,,0.0391387939453125,0.0
14,,1,1,LR,0.41,0.4286286309395554,0.42208069708069706,0.4286286309395554,0.4105937507092663,0.36552317453489624,,0.041643619537353516,0.0
14,,2,1,LR,0.39,0.41139069264069267,0.4002565094863856,0.41139069264069267,0.38390784997384536,0.3437508404830424,,0.03677678108215332,0.0009982585906982422
14,,3,1,LR,0.44,0.4417593377677411,0.4442400086564846,0.4417593377677411,0.4350568969501597,0.396405378459217,,0.03914141654968262,0.0
14,,4,1,LR,0.465,0.46724893736171935,0.4510341147255124,0.46724893736171935,0.44952872943008637,0.42227741482641323,,0.03967714309692383,0.0
14,,5,1,LR,0.48,0.4934934895931137,0.4990425356745569,0.4934934895931137,0.4736004890413511,0.44092033114718854,,0.031497955322265625,0.0
14,,1,2,LR,0.45,0.4564139025135266,0.45429398817556715,0.4564139025135266,0.44511320953970357,0.40707201379905134,,0.04644513130187988,0.0014410018920898438
14,,2,2,LR,0.455,0.46645625616213854,0.4664862822812846,0.46645625616213854,0.45258881712206517,0.41342661105879197,,0.03326153755187988,0.0
14,,3,2,LR,0.425,0.4287414965986395,0.4398648311052403,0.4287414965986395,0.4229437874647165,0.3804213135068153,,0.04078269004821777,0.0
14,,4,2,LR,0.4,0.4110980755938739,0.4054503725180417,0.4110980755938739,0.39499672296535143,0.3529602070527337,,0.041794776916503906,0.0
14,,5,2,LR,0.425,0.4324774490215666,0.43297105923709195,0.4324774490215666,0.4240756440975659,0.3807549404986268,,0.03994631767272949,0.0
14,,1,3,LR,0.49,0.47565723259000575,0.4828892366663265,0.47565723259000575,0.46991066080317084,0.4490953281123413,,0.0375208854675293,0.0
14,,2,3,LR,0.37,0.3747172313901637,0.39165842112823535,0.3747172313901637,0.3704970947703346,0.3216323893614731,,0.05108308792114258,0.0
14,,3,3,LR,0.42,0.44326167529949034,0.4405830373680786,0.44326167529949034,0.42208259202828335,0.37656195415580573,,0.035085439682006836,0.0
14,,4,3,LR,0.44,0.4300653544077,0.4258923616066474,0.4300653544077,0.42263644119086147,0.3951014015284492,,0.035802364349365234,0.0007851123809814453
14,,5,3,LR,0.455,0.4596558562696333,0.4599028072767569,0.4596558562696333,0.44781149670312226,0.41269969557369546,,0.03505897521972656,0.0
14,,1,4,LR,0.425,0.44336776300509156,0.4377356026342622,0.44336776300509156,0.42683305721574605,0.3806215328270586,,0.04069781303405762,0.0
14,,2,4,LR,0.445,0.45666816843287433,0.4412617611147022,0.45666816843287433,0.44304822677939154,0.4017462541769967,,0.0341191291809082,0.00010538101196289062
14,,3,4,LR,0.45,0.4511810922995133,0.44582220202520956,0.4511810922995133,0.4391851105360422,0.40686419886225766,,0.03486347198486328,0.0
14,,4,4,LR,0.445,0.42853348737360236,0.4482741173392434,0.42853348737360236,0.4274642324533894,0.40239043824701193,,0.04026913642883301,0.0
14,,5,4,LR,0.415,0.4244754977810042,0.42090270840270844,0.4244754977810042,0.4115453735172679,0.3704431111948129,,0.03619790077209473,0.0
