Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
24,,1,0,RND,0.02,0.02288510101010101,0.017636363636363638,0.02196969696969697,0.0179640277163497,-0.02115244347191836,,0.0,0.0
24,,2,0,RND,0.045,0.046345899470899475,0.04915873015873016,0.04449206349206349,0.04606782106782108,0.004430544696377492,,0.0,0.0
24,,3,0,RND,0.045,0.0449074074074074,0.04084271284271284,0.04311111111111111,0.040593837535014006,0.006191789375097567,,0.0,0.0
24,,4,0,RND,0.055,0.0608495670995671,0.05062049062049062,0.058415584415584414,0.052987749093012244,0.015265982389412791,,0.0,0.0
24,,5,0,RND,0.025,0.02337962962962963,0.023492063492063488,0.022444444444444444,0.022212704965026947,-0.017028711502855343,,0.0,0.0
24,,1,1,RND,0.015,0.016666666666666666,0.014603174603174602,0.016,0.014630694383016365,-0.02719190760486989,,0.0,0.0
24,,2,1,RND,0.03,0.03900462962962963,0.03179509379509379,0.03744444444444445,0.03365497076023392,-0.0079492907985661,,0.0,0.0009953975677490234
24,,3,1,RND,0.045,0.04976851851851852,0.041189477189477186,0.04777777777777778,0.04251892551892552,0.005260142700900916,,0.0,0.0
24,,4,1,RND,0.03,0.02579665704665705,0.027553113553113552,0.024764790764790767,0.025612698412698417,-0.009995835068721481,,0.0,0.0
24,,5,1,RND,0.04,0.04456018518518518,0.02995670995670996,0.042777777777777776,0.03287792908845541,-0.0006514657980456473,,0.0,0.0
24,,1,2,RND,0.03,0.024402680652680652,0.03327272727272727,0.023426573426573425,0.02666666666666667,-0.009838113580761032,,0.0,0.0
24,,2,2,RND,0.03,0.03450877825877826,0.02268686868686869,0.033128427128427125,0.02607665972371855,-0.013451743502677305,,0.0,0.0
24,,3,2,RND,0.035,0.03601641414141414,0.04256410256410256,0.03457575757575757,0.0345982905982906,-0.005234511315398871,,0.0,0.0
24,,4,2,RND,0.055,0.04534770784770784,0.0485006105006105,0.04353379953379953,0.04549633510624223,0.01444438650466695,,0.0,0.0
24,,5,2,RND,0.04,0.035122053872053874,0.0358998778998779,0.03371717171717172,0.03322357975851044,-0.0004950366066542866,,0.0,0.0
24,,1,3,RND,0.035,0.03043981481481482,0.03101587301587301,0.029222222222222226,0.028901926093230442,-0.005627344726969463,,0.0,0.0
24,,2,3,RND,0.045,0.04289021164021164,0.05119191919191919,0.04117460317460317,0.04160859665503629,0.006321046744530934,,0.0,0.0
24,,3,3,RND,0.04,0.0385270979020979,0.04027272727272727,0.036986013986013984,0.036632942445299424,-0.00023442994451827737,,0.0,0.0
24,,4,3,RND,0.075,0.07877134439634438,0.06475990675990677,0.07562049062049062,0.0677746882124322,0.03655869180293725,,0.0,0.0002963542938232422
24,,5,3,RND,0.045,0.05141369047619047,0.048063936063936066,0.04935714285714285,0.04387719298245614,0.007379690260887695,,0.0,0.0009875297546386719
24,,1,4,RND,0.02,0.018634259259259257,0.017777777777777778,0.017888888888888888,0.017754010695187165,-0.020620704019995717,,0.0,0.0
24,,2,4,RND,0.025,0.031117724867724867,0.02063492063492063,0.029873015873015874,0.022904712762297903,-0.016233681632227492,,0.0,0.0
24,,3,4,RND,0.035,0.028356481481481483,0.03279020979020979,0.027222222222222224,0.02903069438301636,-0.005941832586260798,,0.0,0.0
24,,4,4,RND,0.04,0.04310515873015872,0.03941558441558442,0.04138095238095238,0.03991992802519118,-0.0007296987386635756,,0.0,0.0
24,,5,4,RND,0.02,0.020917508417508418,0.017683982683982684,0.02008080808080808,0.017665732959850605,-0.01860513460139268,,0.0,0.0010046958923339844
