Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
10,,1,0,kNN,0.635,0.6336025835339336,0.6463505897342214,0.6336025835339336,0.6348730345351121,0.5931561054450204,,0.0,0.01696014404296875
10,,2,0,kNN,0.66,0.6742280343505389,0.6681721494879389,0.6742280343505389,0.655702076287018,0.621833551149793,,0.0,0.010193586349487305
10,,3,0,kNN,0.69,0.706939039517257,0.6898334711458954,0.706939039517257,0.6903509883826006,0.6551436437967573,,0.0,0.015243291854858398
10,,4,0,kNN,0.7,0.6845287851982899,0.7027178834182229,0.6845287851982899,0.6875865373372579,0.6635262449528936,,0.005617380142211914,0.009403467178344727
10,,5,0,kNN,0.63,0.6406067433710454,0.6422876003139162,0.6406067433710454,0.6280278725815704,0.5873184061567632,,0.0,0.015349149703979492
10,,1,1,kNN,0.595,0.6074514184010752,0.6092978345184228,0.6074514184010752,0.5968342226965119,0.5495996441281139,,0.0,0.015068531036376953
10,,2,1,kNN,0.63,0.6130121517205916,0.6142898307409177,0.6130121517205916,0.6060554696767049,0.5871342092783218,,0.0020079612731933594,0.013568639755249023
10,,3,1,kNN,0.68,0.6651197927213726,0.6744706682206683,0.6651197927213726,0.6583733848374411,0.6431657885199744,,0.0020041465759277344,0.01190638542175293
10,,4,1,kNN,0.67,0.6776099651982005,0.6733832111263799,0.6776099651982005,0.6684331794154817,0.6322505154064748,,0.0,0.015233278274536133
10,,5,1,kNN,0.705,0.7110986021202739,0.7101075792635895,0.7110986021202739,0.7042813056801578,0.671903239260392,,0.0009965896606445312,0.014008522033691406
10,,1,2,kNN,0.71,0.6996819895006057,0.7044236981342245,0.6996819895006057,0.6966463392475747,0.6768442166258077,,0.0020072460174560547,0.011049747467041016
10,,2,2,kNN,0.655,0.6611290481104722,0.6725521048999311,0.6611290481104722,0.6552086108296908,0.6166027671278547,,0.0031075477600097656,0.01049947738647461
10,,3,2,kNN,0.62,0.6217902983631884,0.6221696724328304,0.6217902983631884,0.6121222582804366,0.5775313377247839,,0.0,0.012490987777709961
10,,4,2,kNN,0.63,0.645088249004153,0.6448502009499452,0.645088249004153,0.63498757765207,0.5890487032820569,,0.0020051002502441406,0.009553909301757812
10,,5,2,kNN,0.68,0.6643457966182424,0.6756019476403108,0.6643457966182424,0.6579425287356322,0.6431359429017509,,0.0,0.009993553161621094
10,,1,3,kNN,0.74,0.7232961542104764,0.7356910474473405,0.7232961542104764,0.7220910205159242,0.7095621090259161,,0.0,0.015694856643676758
10,,2,3,kNN,0.64,0.6463696682686453,0.6326960784313725,0.6463696682686453,0.6303031633121459,0.5991202917513433,,0.0,0.009718656539916992
10,,3,3,kNN,0.72,0.7287218063976375,0.724706375749854,0.7287218063976375,0.7199548330508446,0.6877787689562891,,0.0,0.014647483825683594
10,,4,3,kNN,0.63,0.6250566595128448,0.6596024108021011,0.6250566595128448,0.6217661796995485,0.5882598414243985,,0.004798173904418945,0.010612726211547852
10,,5,3,kNN,0.655,0.6420599954628761,0.6456763723033073,0.6420599954628761,0.63935021305682,0.6152666648080516,,0.0,0.010427713394165039
10,,1,4,kNN,0.705,0.7138834221819819,0.7157323232323233,0.7138834221819819,0.7053148204518888,0.6718576195773082,,0.0,0.015126228332519531
10,,2,4,kNN,0.66,0.6763936988936988,0.6714306599832915,0.6763936988936988,0.6597928273385921,0.6211277022509472,,0.005007028579711914,0.009992122650146484
10,,3,4,kNN,0.585,0.5895034082791519,0.5941458078958078,0.5895034082791519,0.5790057806371677,0.5391577135559813,,0.0,0.014340877532958984
10,,4,4,kNN,0.695,0.6542041861647124,0.6618007666775415,0.6542041861647124,0.6518551906029617,0.6584068318633627,,0.000209808349609375,0.010179281234741211
10,,5,4,kNN,0.66,0.6716777664536447,0.690931294367827,0.6716777664536447,0.6586296772591175,0.6226519796897978,,0.0046024322509765625,0.011473417282104492
