Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
3,,1,0,kNN,0.955,0.9537356244141609,0.9569290697117193,0.9537356244141609,0.9542536478918513,0.932401982875169,,0.0036346912384033203,0.01035761833190918
3,,2,0,kNN,0.96,0.9623669123669124,0.9597069597069597,0.9623669123669124,0.9602702855527284,0.9399173864063086,,0.005605220794677734,0.011555194854736328
3,,3,0,kNN,0.97,0.9705376344086022,0.9687194525904204,0.9705376344086022,0.9693163086690039,0.9548838258515678,,0.0019958019256591797,0.012320756912231445
3,,4,0,kNN,0.94,0.9424089597673732,0.9398472806607449,0.9424089597673732,0.9407316609396009,0.9098422238918107,,0.002619028091430664,0.008424758911132812
3,,5,0,kNN,0.97,0.9692738192738193,0.9700000000000001,0.9692738192738193,0.9696031217446249,0.9548192771084337,,0.0,0.012293100357055664
3,,1,1,kNN,0.955,0.9551182443944661,0.9536504924550465,0.9551182443944661,0.954141385835375,0.9323664236867814,,0.0,0.011593103408813477
3,,2,1,kNN,0.935,0.9378950111605878,0.9369138959931799,0.9378950111605878,0.9360689842636205,0.9024865919063871,,0.0001780986785888672,0.011662483215332031
3,,3,1,kNN,0.96,0.9616108645959391,0.959353932265996,0.9616108645959391,0.9601956485073369,0.9398156855369569,,0.0015447139739990234,0.010587453842163086
3,,4,1,kNN,0.97,0.9733187134502924,0.968968267062641,0.9733187134502924,0.970731897021078,0.9546416691865739,,0.005263328552246094,0.012046337127685547
3,,5,1,kNN,0.975,0.9719902844269219,0.973208898944193,0.9719902844269219,0.9725529100529101,0.9619598295800366,,0.004548549652099609,0.009758234024047852
3,,1,2,kNN,0.965,0.962588886143371,0.9636207656900306,0.962588886143371,0.9630648093627373,0.9471917317339972,,0.001990795135498047,0.010897636413574219
3,,2,2,kNN,0.935,0.9384065587555183,0.9379005104811556,0.9384065587555183,0.9350241274828863,0.9026654687032045,,0.0,0.014863252639770508
3,,3,2,kNN,0.945,0.9449283586647614,0.9469315445476436,0.9449283586647614,0.9458044405587414,0.9170781350118729,,0.004617452621459961,0.010036945343017578
3,,4,2,kNN,0.965,0.9648864058577785,0.964250758926856,0.9648864058577785,0.9645314843713096,0.947402036292595,,0.0,0.009480476379394531
3,,5,2,kNN,0.975,0.9752965615515582,0.9761765660499838,0.9752965615515582,0.9756914322863975,0.9621312530768357,,0.0,0.009225845336914062
3,,1,3,kNN,0.95,0.9498366013071896,0.9489636901979118,0.9498366013071896,0.9491520677021938,0.9248685199098422,,0.001990079879760742,0.011301755905151367
3,,2,3,kNN,0.955,0.9549223579074325,0.9551304563157066,0.9549223579074325,0.9549909485650628,0.9324957809863117,,0.0,0.011153936386108398
3,,3,3,kNN,0.95,0.9523403044529806,0.9506570723962028,0.9523403044529806,0.950237670825906,0.925043100217375,,0.0,0.01188516616821289
3,,4,3,kNN,0.955,0.9533285951196399,0.955982905982906,0.9533285951196399,0.9540144931229877,0.9323689648694345,,0.0020627975463867188,0.0075571537017822266
3,,5,3,kNN,0.965,0.964613302818948,0.9661538461538463,0.964613302818948,0.9652619815019036,0.9473089951072639,,0.0,0.014460086822509766
3,,1,4,kNN,0.95,0.9528451954258405,0.9511952844811006,0.9528451954258405,0.950978243324753,0.9248713421734721,,0.004323005676269531,0.010992288589477539
3,,2,4,kNN,0.965,0.9657738095238096,0.965140330953926,0.9657738095238096,0.9651442957556097,0.9474868717179294,,0.0005087852478027344,0.01656317710876465
3,,3,4,kNN,0.96,0.9588623528611281,0.9592592592592593,0.9588623528611281,0.9590276714364306,0.9398405775304557,,0.0,0.009960651397705078
3,,4,4,kNN,0.96,0.9600732600732601,0.9599660070687288,0.9600732600732601,0.9598797337927772,0.9399849962490623,,0.001041412353515625,0.013427972793579102
3,,5,4,kNN,0.955,0.9532259338229488,0.9568639560816606,0.9532259338229488,0.9541395331691499,0.9323486300597588,,0.0038008689880371094,0.013387918472290039
